103037	19
991940	20
985011	20
996988	21
995812	21
953085	21
964031	22
102676	22
991666	23
990114	23
990097	23
996387	24
996029	24
995065	24
992155	24
991189	24
990538	24
969435	24
102200	24
996419	25
994093	25
990597	25
953494	25
996289	26
995934	26
992937	26
991899	26
989983	26
977261	26
103156	26
103152	26
997006	27
996203	27
995920	27
995873	27
994564	27
993516	27
993395	27
993158	27
992382	27
991191	27
976513	27
970768	27
103704	27
103212	27
103119	27
996730	28
996401	28
996247	28
996165	28
995957	28
992100	28
991649	28
990813	28
990447	28
990050	28
989912	28
989628	28
987446	28
976675	28
971608	28
969903	28
965246	28
963420	28
962711	28
103273	28
103262	28
996783	29
996001	29
995752	29
995481	29
995300	29
994662	29
992623	29
991904	29
991562	29
991272	29
991244	29
990458	29
989729	29
970596	29
963907	29
103382	29
103340	29
103291	29
103111	29
103028	29
101689	29
101132	29
997064	30
996518	30
996339	30
996230	30
996093	30
995662	30
995260	30
994166	30
993910	30
992951	30
992303	30
992107	30
992072	30
991669	30
987823	30
910850	30
103425	30
103233	30
102612	30
996950	30 e Lode
996785	30 e Lode
996681	30 e Lode
996110	30 e Lode
995928	30 e Lode
995825	30 e Lode
995601	30 e Lode
995410	30 e Lode
995347	30 e Lode
995341	30 e Lode
995315	30 e Lode
995252	30 e Lode
994849	30 e Lode
994698	30 e Lode
993209	30 e Lode
992756	30 e Lode
992727	30 e Lode
992696	30 e Lode
991943	30 e Lode
991876	30 e Lode
991802	30 e Lode
990352	30 e Lode
990053	30 e Lode
989783	30 e Lode
987615	30 e Lode
987159	30 e Lode
971458	30 e Lode
969417	30 e Lode
965994	30 e Lode
947645	30 e Lode
909230	30 e Lode
103447	30 e Lode
103323	30 e Lode
103145	30 e Lode
103064	30 e Lode
103044	30 e Lode
102667	30 e Lode
102153	30 e Lode
101506	30 e Lode
996990	ASSENTE
995311	ASSENTE
103142	ASSENTE
102579	ASSENTE
996210	RIFIUTATO
102652	RIFIUTATO
993217	RIMANDATO
989485	RIMANDATO
986125	RIMANDATO
974725	RIMANDATO
